stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
3451,10,Vatra Luminoasa,,44.437265,26.13652,,,,
3583,100,Piata Rahova,,44.405699,26.063171,,,,
7590,1000,Faur,,44.426239,26.17895,,,,
7554,1002,Bd. 1 Decembrie 1918,,44.41862,26.176031,,,,
7552,1003,Codrii Neamtului,,44.41742,26.17108,,,,
7553,1004,Bd. Nicolae Grigorescu,,44.415918,26.166249,,,,
7557,1005,Postavarului,,44.417705,26.165225,,,,
7558,1006,Policlinica Titan,,44.420519,26.164628,,,,
7555,1007,Liviu Rebreanu,,44.424868,26.162121,,,,
7556,1008,Constantin Brancusi,,44.429723,26.162106,,,,
7560,1009,Bd. Basarabia,,44.435854,26.159775,,,,
3582,101,Margeanului,,44.403124,26.057071,,,,
7563,1010,Pictor Harlescu,,44.439333,26.158165,,,,
3924,1012,Bd.Tineretului,,44.407999,26.120237,,,,
7650,1013,Soseaua Iancului,,44.443808,26.148526,,,,
7651,1014,Baicului,,44.444435,26.142502,,,,
7647,1016,Palatul Parlamentului,,44.43042,26.086938,,,,
3919,1017,Ziduri Mosi,,44.454695,26.128621,,,,
3922,1018,Suveica,,44.458485,26.131255,,,,
7649,1019,Soseaua Colentina,,44.462918,26.131801,,,,
3581,102,Antiaeriana,,44.400372,26.050126,,,,
9072,1023,Rocin,,44.482384,26.120597,,,,
3904,1029,Doamna Ghica,,44.46066,26.132323,,,,
3580,103,Depoul Alexandria,,44.39901,26.046381,,,,
3908,1030,Teiul Doamnei,,44.456153,26.129329,,,,
7643,1031,Pod Izvor,,44.43293,26.091822,,,,
7618,1034,Baicului,,44.444115,26.143825,,,,
7617,1035,Soseaua Iancului,,44.443202,26.152599,,,,
7620,1036,Bd. Chisinau,,44.443131,26.156115,,,,
7619,1037,Soseaua Pantelimon,,44.441565,26.166221,,,,
7622,1039,Bd. Nicolae Grigorescu,,44.434292,26.160152,,,,
3579,104,Mezes,,44.484806,26.023453,,,,
7626,1041,Facultatea Medicina Veterinara,,44.433614,26.081023,,,,
7627,1042,Policlinica Titan,,44.420529,26.164319,,,,
7628,1043,Postavarului,,44.417165,26.164927,,,,
7629,1044,Codrii Neamtului,,44.41739,26.172154,,,,
7603,1045,Bd. 1 Decembrie 1918,,44.417991,26.176306,,,,
7602,1047,Bd. Basarabia,,44.436386,26.168826,,,,
3578,105,Marmurei,,44.482369,26.02984,,,,
7604,1050,Fizicienilor,,44.414258,26.152241,,,,
7605,1054,Complex Comercial Vitan Barzesti,,44.399645,26.142618,,,,
7488,1056,Soseaua Oltenitei,,44.385402,26.13895,,,,
7489,1057,Cartier Aparatorii Patriei,,44.37969,26.132811,,,,
7484,1058,Emil Racovita,,44.379155,26.126877,,,,
7487,1059,Bd. Alexandru Obregia,,44.376541,26.119054,,,,
3577,106,Crinului,,44.480761,26.033839,,,,
7483,1060,Dorohoi,,44.376094,26.112514,,,,
7481,1061,Izvorul Oltului,,44.377013,26.105914,,,,
7479,1062,Ucea,,44.377594,26.101772,,,,
7472,1066,Resita,,44.377742,26.100018,,,,
7456,1067,Ucea,,44.377421,26.102266,,,,
7459,1068,Izvorul Oltului,,44.376729,26.107062,,,,
7461,1069,Bd. Constantin Brancoveanu,,44.375822,26.113877,,,,
3576,107,Minerva,,44.479085,26.038003,,,,
7450,1071,Cartier Aparatorii Patriei,,44.380441,26.135589,,,,
7455,1072,Soseaua Oltenitei,,44.386789,26.140223,,,,
7453,1073,Spitalul Sf. Ioan,,44.391935,26.142719,,,,
7447,1074,Complex Comercial Vitan Barzesti,,44.401257,26.142615,,,,
7445,1075,Pod Vitan,,44.404579,26.142438,,,,
3575,108,Bd. Bucurestii Noi,,44.476699,26.045036,,,,
7427,1082,Pod Izvor,,44.432992,26.09069,,,,
7426,1083,Piata Natiunile Unite,,44.42934,26.096838,,,,
7425,1084,Piata Chirigiu,,44.416911,26.080668,,,,
7429,1085,Soseaua Progresului,,44.414992,26.07704,,,,
7428,1086,Piata Unirii 1,,44.42739,26.100943,,,,
3574,109,Carpati,,44.472291,26.049104,,,,
9031,1091,Piata Operei,,44.434381,26.0765,,,,
7405,1093,Depoul Alexandria,,44.398313,26.044306,,,,
7412,1099,Calea Ferentari,,44.408591,26.077901,,,,
3434,11,Piata Iancului,,44.44066,26.134073,,,,
3224,110,Clabucet,,44.471078,26.051762,,,,
7187,1100,Soseaua Progresului,,44.415912,26.079248,,,,
7184,1102,Sebastian,,44.420849,26.066535,,,,
7185,1103,Soseaua Progresului,,44.422332,26.070597,,,,
7180,1104,Valea Oltului,,44.411949,26.017128,,,,
10413,1107,Raul Doamnei,,44.413573,26.025609,,,,
3789,1108,Aleea Vlasiei,,44.416111,26.024773,,,,
3790,1109,Liceul Eugen Lovinescu,,44.417769,26.028356,,,,
6472,112,Soseaua Garii Catelu,,44.425273,26.220568,,,,
3819,1125,Liceul Eugen Lovinescu,,44.41746,26.02742,,,,
3825,1126,Raul Doamnei,,44.41637,26.023185,,,,
7208,1127,Ghidigeni,,44.412628,26.022154,,,,
3823,1128,Mircea Vulcanescu,,44.439941,26.073214,,,,
7211,1130,Valea Oltului,,44.412177,26.018447,,,,
7232,1137,Glinka,,44.462972,26.101568,,,,
7231,1138,Ceaikovski,,44.466271,26.102186,,,,
9266,1145,Rocin,,44.482413,26.121847,,,,
3864,1146,Grup Scolar Auto,,44.43545,25.975515,,,,
3221,115,Piata Presei,,44.475807,26.071744,,,,
7230,1150,Podul Ciorogarla,,44.40085,25.933062,,,,
7228,1153,Ciutaci,,44.401026,25.90993,,,,
7245,1156,Soseaua Stefan cel Mare,,44.45456,26.100685,,,,
3915,1158,Piata Gemeni,,44.445301,26.112175,,,,
6470,116,Piata Iancului,,44.441074,26.132251,,,,
7246,1160,Panselelor,,44.398604,25.919045,,,,
3940,1162,Bucur Obor,,44.450794,26.12581,,,,
3942,1163,Doamna Ghica,,44.463057,26.133811,,,,
3943,1164,Raul Colentina,,44.467169,26.139854,,,,
3895,1166,Sportului,,44.470745,26.15056,,,,
7238,1168,Nicolae Canea,,44.475409,26.1586,,,,
7243,1170,Primaria Domnesti,,44.398767,25.915044,,,,
7242,1172,Nicolae Canea,,44.475397,26.15813,,,,
7244,1173,Cornisor,,44.473196,26.15385,,,,
3912,1174,Sportului,,44.470909,26.149363,,,,
3909,1175,Cartier Colentina,,44.468524,26.142236,,,,
3910,1176,Raul Colentina,,44.466204,26.13737,,,,
3684,1177,Bucur Obor,,44.450873,26.125494,,,,
3685,1178,Fainari,,44.446949,26.122424,,,,
7069,1179,Gara de Nord,,44.447165,26.075363,,,,
6481,118,Spitalul Sf. Ioan,,44.391213,26.142508,,,,
7058,1182,Primaria Sector 1,,44.45312,26.073921,,,,
7057,1183,Piata Ion Mihalache,,44.458846,26.077008,,,,
7056,1184,Bd. Maresal Averescu,,44.462668,26.072128,,,,
7055,1185,Piata Domenii,,44.46539,26.067518,,,,
7054,1187,Scoala de 4 Ani,,44.402899,25.90307,,,,
7052,1189,Marin Dracea,,44.482995,26.108211,,,,
7045,1190,C.F.R. Constanta,,44.48601,26.113442,,,,
